path,reason,cluster_size,classes
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\_UNMAPPED\Unlabeled\roboflow__cattle-diseases__14_jpg.rf.440111ef644df4006dbb21e499397eba.jpg,exact_cross_class_conflict,2,Unlabeled|lumpy_skin_disease
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\lumpy_skin_disease\kaggle__devang03mgr__cattle-diseases-datasets__14_jpg.rf.30a3fd59d7395108a2c542ea26abdc68.jpg,exact_cross_class_conflict,2,Unlabeled|lumpy_skin_disease
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\roboflow__cattle-diseases__Ayrshirecattle105_c_jpg.rf.0cc7ee09e4b2188c0069a704fbe1ebd4.jpg,same_class_duplicate,2,healthy_cattle
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\roboflow__cattle-diseases__Ayrshirecattle35_jpg.rf.14b798c8a2e4dd7c6558a8211122bdb2.jpg,same_class_duplicate,2,healthy_cattle
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_114_png.rf.79b65f04fbc39ef373ff8ed3216bc208.jpg,exact_cross_class_conflict,3,healthy_cattle|healthy_skin
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_400_png.rf.9ca54f87b31733002f8742d37c9f61eb.jpg,exact_cross_class_conflict,3,healthy_cattle|healthy_skin
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Ayrshirecattle84.jpg,exact_cross_class_conflict,3,healthy_cattle|healthy_skin
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_337_png.rf.cf6906c3605e4ba0f9f5c6e4291ffab5.jpg,exact_cross_class_conflict,2,healthy_cattle|healthy_skin
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__HolsteinFriesiancattle10.jpg,exact_cross_class_conflict,2,healthy_cattle|healthy_skin
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_301_png.rf.d253201b603dd6389e29a6c0ce02c999.jpg,exact_cross_class_conflict,3,healthy_cattle|healthy_skin
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__HolsteinFriesiancattle105.jpg,exact_cross_class_conflict,3,healthy_cattle|healthy_skin
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\roboflow__cattle-diseases__download-5-_jpg.rf.ca8fdf4088b8e7f450c62e616886b9e3.jpg,exact_cross_class_conflict,3,healthy_cattle|healthy_skin
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_106_png.rf.97f6258d3b1bc1c6f9da26e638c92919.jpg,exact_cross_class_conflict,2,healthy_cattle|healthy_skin
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__HolsteinFriesiancattle12.jpg,exact_cross_class_conflict,2,healthy_cattle|healthy_skin
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\roboflow__cattle-diseases__images-20-_jpg.rf.a239fbcb60d0b27a468e97ab0302d9b6.jpg,same_class_duplicate,2,healthy_cattle
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_117_png.rf.3a23b26131686bf73fc106dabd5932ea.jpg,exact_cross_class_conflict,3,healthy_cattle|healthy_skin
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__HolsteinFriesiancattle2.jpg,exact_cross_class_conflict,3,healthy_cattle|healthy_skin
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\roboflow__cattle-diseases__download-6-_jpg.rf.3845380bb78f8cf3d6a4f2283e37d5c2.jpg,exact_cross_class_conflict,3,healthy_cattle|healthy_skin
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\roboflow__cattle-diseases__download-21-_jpg.rf.f89105cbd6342ecdf54ffa01b4c2b35f.jpg,same_class_duplicate,2,healthy_cattle
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_397_png.rf.eee01d5591b85ad2ff7fbda150649993.jpg,exact_cross_class_conflict,2,healthy_cattle|healthy_skin
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__imgs025.jpg,exact_cross_class_conflict,2,healthy_cattle|healthy_skin
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\roboflow__cattle-diseases__images-16-_jpg.rf.2d11b0b3fb3102337033b988545be834.jpg,same_class_duplicate,2,healthy_cattle
