path,split,filename
expansion\dog_conjunctivitis\test_D0_0e49d71d-60a5-11ec-8402-0a7404972c70_jpg.rf.WV8mVlnd5VD3jq4BEaiG.jpg,test,test_D0_0e49d71d-60a5-11ec-8402-0a7404972c70_jpg.rf.WV8mVlnd5VD3jq4BEaiG.jpg
expansion\dog_conjunctivitis\test_D0_10779029-60a5-11ec-8402-0a7404972c70_jpg.rf.nszMDDDpIxukJRh96PcY.jpg,test,test_D0_10779029-60a5-11ec-8402-0a7404972c70_jpg.rf.nszMDDDpIxukJRh96PcY.jpg
expansion\dog_conjunctivitis\test_D0_10c05bc8-60a5-11ec-8402-0a7404972c70_jpg.rf.yVV7Jyhr8u4olw0hE3oF.jpg,test,test_D0_10c05bc8-60a5-11ec-8402-0a7404972c70_jpg.rf.yVV7Jyhr8u4olw0hE3oF.jpg
expansion\dog_conjunctivitis\test_D0_1112bdf8-60a5-11ec-8402-0a7404972c70_jpg.rf.a9s7UqCHFOB2ly3LwvPh.jpg,test,test_D0_1112bdf8-60a5-11ec-8402-0a7404972c70_jpg.rf.a9s7UqCHFOB2ly3LwvPh.jpg
expansion\dog_conjunctivitis\test_D0_11271ccd-60a5-11ec-8402-0a7404972c70_jpg.rf.EKZ9RCHa3e4nE5qf3nzY.jpg,test,test_D0_11271ccd-60a5-11ec-8402-0a7404972c70_jpg.rf.EKZ9RCHa3e4nE5qf3nzY.jpg
expansion\dog_conjunctivitis\test_D0_12b0bb75-60a5-11ec-8402-0a7404972c70_jpg.rf.cKGHEUNpKncFzUPaTLc7.jpg,test,test_D0_12b0bb75-60a5-11ec-8402-0a7404972c70_jpg.rf.cKGHEUNpKncFzUPaTLc7.jpg
expansion\dog_conjunctivitis\test_D0_12eca4a5-60a5-11ec-8402-0a7404972c70_jpg.rf.1bj0Pv6NYWkoiFkoLOmZ.jpg,test,test_D0_12eca4a5-60a5-11ec-8402-0a7404972c70_jpg.rf.1bj0Pv6NYWkoiFkoLOmZ.jpg
expansion\dog_conjunctivitis\test_D0_185811e5-60a5-11ec-8402-0a7404972c70_jpg.rf.L4mjpibzVEjbQT8KzJHv.jpg,test,test_D0_185811e5-60a5-11ec-8402-0a7404972c70_jpg.rf.L4mjpibzVEjbQT8KzJHv.jpg
expansion\dog_conjunctivitis\test_D0_18ce5f63-60a5-11ec-8402-0a7404972c70_jpg.rf.2ZNK5WLlsy2UtE3U8Q0D.jpg,test,test_D0_18ce5f63-60a5-11ec-8402-0a7404972c70_jpg.rf.2ZNK5WLlsy2UtE3U8Q0D.jpg
expansion\dog_conjunctivitis\test_D0_1907d9b0-60a5-11ec-8402-0a7404972c70_jpg.rf.IxHd8zEg10u4mFyatGAF.jpg,test,test_D0_1907d9b0-60a5-11ec-8402-0a7404972c70_jpg.rf.IxHd8zEg10u4mFyatGAF.jpg
