path,status,reason
expansion\dog_conjunctivitis\test_D0_0e49d71d-60a5-11ec-8402-0a7404972c70_jpg.rf.WV8mVlnd5VD3jq4BEaiG.jpg,ok,
expansion\dog_conjunctivitis\test_D0_10779029-60a5-11ec-8402-0a7404972c70_jpg.rf.nszMDDDpIxukJRh96PcY.jpg,flagged,likely_blurry (var=9.3)
expansion\dog_conjunctivitis\test_D0_10c05bc8-60a5-11ec-8402-0a7404972c70_jpg.rf.yVV7Jyhr8u4olw0hE3oF.jpg,flagged,likely_blurry (var=5.7)
expansion\dog_conjunctivitis\test_D0_1112bdf8-60a5-11ec-8402-0a7404972c70_jpg.rf.a9s7UqCHFOB2ly3LwvPh.jpg,flagged,likely_blurry (var=9.3)
expansion\dog_conjunctivitis\test_D0_11271ccd-60a5-11ec-8402-0a7404972c70_jpg.rf.EKZ9RCHa3e4nE5qf3nzY.jpg,flagged,likely_blurry (var=13.4)
expansion\dog_conjunctivitis\test_D0_12b0bb75-60a5-11ec-8402-0a7404972c70_jpg.rf.cKGHEUNpKncFzUPaTLc7.jpg,ok,
expansion\dog_conjunctivitis\test_D0_12eca4a5-60a5-11ec-8402-0a7404972c70_jpg.rf.1bj0Pv6NYWkoiFkoLOmZ.jpg,ok,
expansion\dog_conjunctivitis\test_D0_185811e5-60a5-11ec-8402-0a7404972c70_jpg.rf.L4mjpibzVEjbQT8KzJHv.jpg,ok,
expansion\dog_conjunctivitis\test_D0_18ce5f63-60a5-11ec-8402-0a7404972c70_jpg.rf.2ZNK5WLlsy2UtE3U8Q0D.jpg,flagged,likely_blurry (var=7.5)
expansion\dog_conjunctivitis\test_D0_1907d9b0-60a5-11ec-8402-0a7404972c70_jpg.rf.IxHd8zEg10u4mFyatGAF.jpg,flagged,likely_blurry (var=12.7)
expansion\dog_conjunctivitis\test_D0_1ce19296-60a5-11ec-8402-0a7404972c70_jpg.rf.ALUNFv7KCGJDzrvq5Sba.jpg,flagged,likely_blurry (var=9.3)
expansion\dog_conjunctivitis\test_D0_211390b3-60a5-11ec-8402-0a7404972c70_jpg.rf.dosi5SpbbkuDimq2xRE6.jpg,flagged,likely_blurry (var=12.6)
expansion\dog_conjunctivitis\test_D0_211d82a7-60a5-11ec-8402-0a7404972c70_jpg.rf.7ozI6YDyjPyoPdxPkzt9.jpg,flagged,likely_blurry (var=17.2)
expansion\dog_conjunctivitis\test_D0_213a8966-60a5-11ec-8402-0a7404972c70_jpg.rf.P7WappP0VFWc1HdzbGTc.jpg,flagged,likely_blurry (var=10.4)
expansion\dog_conjunctivitis\test_D0_3089b03e-60a5-11ec-8402-0a7404972c70_jpg.rf.CeolFlh5HrHkJbooZdjI.jpg,flagged,likely_blurry (var=13.7)
expansion\dog_conjunctivitis\test_D0_30d5eac8-60a5-11ec-8402-0a7404972c70_jpg.rf.ZsJiNtp92IDn3VbCHVhX.jpg,flagged,likely_blurry (var=8.5)
expansion\dog_conjunctivitis\test_D0_315024ef-60a5-11ec-8402-0a7404972c70_jpg.rf.8SmOM8mRcOls171xE6Dj.jpg,flagged,likely_blurry (var=11.8)
expansion\dog_conjunctivitis\test_D18_101159db-60a5-11ec-8402-0a7404972c70_jpg.rf.EbcDXCwuvpIWTrrns51h.jpg,flagged,likely_blurry (var=10.5)
expansion\dog_conjunctivitis\test_D18_16584c55-60a5-11ec-8402-0a7404972c70_jpg.rf.8OFW7eaOKY7XSlNcMuTO.jpg,flagged,likely_blurry (var=8.7)
expansion\dog_conjunctivitis\test_D18_3088faec-60a5-11ec-8402-0a7404972c70_jpg.rf.wHNHDC3HdSOvJF2nxXMg.jpg,flagged,likely_blurry (var=11.1)
expansion\dog_conjunctivitis\test_D18_3141dae8-60a5-11ec-8402-0a7404972c70_jpg.rf.jL05RrYkrwbVHN1mj540.jpg,flagged,likely_blurry (var=9.9)
expansion\dog_conjunctivitis\test_D19_0d4c9746-60a5-11ec-8402-0a7404972c70_jpg.rf.aE2nKiPq0rUnQZbDaInR.jpg,flagged,likely_blurry (var=11.0)
expansion\dog_conjunctivitis\test_D19_0d4f5110-60a5-11ec-8402-0a7404972c70_jpg.rf.eDWBHY4xACdmjrYzBH3J.jpg,flagged,likely_blurry (var=10.6)
expansion\dog_conjunctivitis\test_D19_0dd0b7ff-60a5-11ec-8402-0a7404972c70_jpg.rf.JmH1XN93AUr9vDUffGHa.jpg,flagged,likely_blurry (var=10.8)
expansion\dog_conjunctivitis\test_D19_0dd66bf4-60a5-11ec-8402-0a7404972c70_jpg.rf.Hr5RHGHUA8KcqHx6WuFk.jpg,flagged,likely_blurry (var=11.3)
expansion\dog_conjunctivitis\test_D19_0ffc2958-60a5-11ec-8402-0a7404972c70_jpg.rf.H9yO8UeYJ64kvT1PZg6X.jpg,flagged,likely_blurry (var=16.7)
expansion\dog_conjunctivitis\test_D19_0ffea425-60a5-11ec-8402-0a7404972c70_jpg.rf.YXXJvZXwUpJw6BfH0qKW.jpg,flagged,likely_blurry (var=10.0)
expansion\dog_conjunctivitis\test_D1_0d4eee96-60a5-11ec-8402-0a7404972c70_jpg.rf.OuHtPynDZ7HWMRNzUGQa.jpg,flagged,likely_blurry (var=8.7)
expansion\dog_conjunctivitis\test_D1_0e606a50-60a5-11ec-8402-0a7404972c70_jpg.rf.rjnozotuoZDpb9ikW63e.jpg,ok,
expansion\dog_conjunctivitis\test_D1_0e6d6d34-60a5-11ec-8402-0a7404972c70_jpg.rf.FxsT2dQ2bzynYZsevCAX.jpg,flagged,likely_blurry (var=26.9)
expansion\dog_conjunctivitis\test_D1_1012d2ce-60a5-11ec-8402-0a7404972c70_jpg.rf.SPttykOmqeJqmtmyxk7c.jpg,flagged,likely_blurry (var=10.5)
expansion\dog_conjunctivitis\test_D1_1020dd27-60a5-11ec-8402-0a7404972c70_jpg.rf.zJIPTrGq6q1Csc78TdmN.jpg,flagged,likely_blurry (var=9.5)
expansion\dog_conjunctivitis\test_D1_10fecfbc-60a5-11ec-8402-0a7404972c70_jpg.rf.2NYc4pLY1GQXoFPApQYx.jpg,flagged,likely_blurry (var=13.9)
expansion\dog_conjunctivitis\test_D1_128f63b0-60a5-11ec-8402-0a7404972c70_jpg.rf.u5vzFlbAjepU1YUmjOrl.jpg,flagged,likely_blurry (var=12.3)
expansion\dog_conjunctivitis\test_D1_12f65c61-60a5-11ec-8402-0a7404972c70_jpg.rf.SKc2SnHmO3Zt5zRklOTl.jpg,ok,
expansion\dog_conjunctivitis\test_D1_16812adc-60a5-11ec-8402-0a7404972c70_jpg.rf.Ci3th01aADbeM71he3xX.jpg,flagged,likely_blurry (var=7.6)
expansion\dog_conjunctivitis\test_D1_20ed1297-60a5-11ec-8402-0a7404972c70_jpg.rf.JvkyqtacPNR4z9jfKRMN.jpg,flagged,likely_blurry (var=10.9)
expansion\dog_conjunctivitis\test_D1_2110e590-60a5-11ec-8402-0a7404972c70_jpg.rf.femQco5fYxcba2lLZFwE.jpg,flagged,likely_blurry (var=9.2)
expansion\dog_conjunctivitis\test_D1_213c5e8d-60a5-11ec-8402-0a7404972c70_jpg.rf.RAi1k0L8sCLhxBjwEvYn.jpg,flagged,likely_blurry (var=26.1)
expansion\dog_conjunctivitis\test_D1_30721df6-60a5-11ec-8402-0a7404972c70_jpg.rf.ClFeRcTQk4NbsLARep6g.jpg,flagged,likely_blurry (var=13.0)
