path,filename,split,extension
expansion\dog_entropion\test_D0_0366e0a5-60a5-11ec-8402-0a7404972c70_jpg.rf.KqlK78HDcFP59LE6eBLN.jpg,test_D0_0366e0a5-60a5-11ec-8402-0a7404972c70_jpg.rf.KqlK78HDcFP59LE6eBLN.jpg,test,.jpg
expansion\dog_entropion\test_D0_36a6468b-60a5-11ec-8402-0a7404972c70_jpg.rf.8nDTvRsYNrowFp7jvN79.jpg,test_D0_36a6468b-60a5-11ec-8402-0a7404972c70_jpg.rf.8nDTvRsYNrowFp7jvN79.jpg,test,.jpg
expansion\dog_entropion\test_D10_0368d75b-60a5-11ec-8402-0a7404972c70_jpg.rf.7wx49BfJr6yy2MeFOEll.jpg,test_D10_0368d75b-60a5-11ec-8402-0a7404972c70_jpg.rf.7wx49BfJr6yy2MeFOEll.jpg,test,.jpg
expansion\dog_entropion\test_D10_0c454d4b-60a5-11ec-8402-0a7404972c70_png.rf.wohXikDvtBGvPjwORvIW.png,test_D10_0c454d4b-60a5-11ec-8402-0a7404972c70_png.rf.wohXikDvtBGvPjwORvIW.png,test,.png
expansion\dog_entropion\test_D10_0e641109-60a5-11ec-8402-0a7404972c70_jpg.rf.hnilWHYGMlVXLVwt0UH3.jpg,test_D10_0e641109-60a5-11ec-8402-0a7404972c70_jpg.rf.hnilWHYGMlVXLVwt0UH3.jpg,test,.jpg
expansion\dog_entropion\test_D10_247cc0cf-60a5-11ec-8402-0a7404972c70_jpg.rf.edTkMQzYrKrCEwAZG5e3.jpg,test_D10_247cc0cf-60a5-11ec-8402-0a7404972c70_jpg.rf.edTkMQzYrKrCEwAZG5e3.jpg,test,.jpg
expansion\dog_entropion\test_D10_29d68853-60a5-11ec-8402-0a7404972c70_jpg.rf.nOCbBLA85r8F9WfDXNfE.jpg,test_D10_29d68853-60a5-11ec-8402-0a7404972c70_jpg.rf.nOCbBLA85r8F9WfDXNfE.jpg,test,.jpg
expansion\dog_entropion\test_D10_29f5997c-60a5-11ec-8402-0a7404972c70_jpg.rf.Brc0vvVfqdzIwSMSIu2N.jpg,test_D10_29f5997c-60a5-11ec-8402-0a7404972c70_jpg.rf.Brc0vvVfqdzIwSMSIu2N.jpg,test,.jpg
expansion\dog_entropion\test_D11_03657529-60a5-11ec-8402-0a7404972c70_jpg.rf.94Xqh59KO41BOXThu8pB.jpg,test_D11_03657529-60a5-11ec-8402-0a7404972c70_jpg.rf.94Xqh59KO41BOXThu8pB.jpg,test,.jpg
expansion\dog_entropion\test_D11_0e624f18-60a5-11ec-8402-0a7404972c70_jpg.rf.4NxaXKSZ1koIGyvgsO7F.jpg,test_D11_0e624f18-60a5-11ec-8402-0a7404972c70_jpg.rf.4NxaXKSZ1koIGyvgsO7F.jpg,test,.jpg
expansion\dog_entropion\test_D13_3341e200-60a5-11ec-8402-0a7404972c70_jpg.rf.hyOd9nTD6zymZZWkthYh.jpg,test_D13_3341e200-60a5-11ec-8402-0a7404972c70_jpg.rf.hyOd9nTD6zymZZWkthYh.jpg,test,.jpg
expansion\dog_entropion\test_D14_0e45c8d5-60a5-11ec-8402-0a7404972c70_jpg.rf.zCW326TgJeZ9JmQ66cX8.jpg,test_D14_0e45c8d5-60a5-11ec-8402-0a7404972c70_jpg.rf.zCW326TgJeZ9JmQ66cX8.jpg,test,.jpg
expansion\dog_entropion\test_D14_0e5e70a9-60a5-11ec-8402-0a7404972c70_jpg.rf.N0AOt0OmekUM2UBa4La9.jpg,test_D14_0e5e70a9-60a5-11ec-8402-0a7404972c70_jpg.rf.N0AOt0OmekUM2UBa4La9.jpg,test,.jpg
expansion\dog_entropion\test_D16_0e412226-60a5-11ec-8402-0a7404972c70_jpg.rf.vkdWkyszAD22D9faITFc.jpg,test_D16_0e412226-60a5-11ec-8402-0a7404972c70_jpg.rf.vkdWkyszAD22D9faITFc.jpg,test,.jpg
expansion\dog_entropion\test_D17_0e4a8687-60a5-11ec-8402-0a7404972c70_jpg.rf.yNO3aTubrIeGAXL1UVAl.jpg,test_D17_0e4a8687-60a5-11ec-8402-0a7404972c70_jpg.rf.yNO3aTubrIeGAXL1UVAl.jpg,test,.jpg
expansion\dog_entropion\test_D17_0e62ee20-60a5-11ec-8402-0a7404972c70_jpg.rf.Cd1OWYO5lMZqc09KNE13.jpg,test_D17_0e62ee20-60a5-11ec-8402-0a7404972c70_jpg.rf.Cd1OWYO5lMZqc09KNE13.jpg,test,.jpg
expansion\dog_entropion\test_D17_0e7cfd9a-60a5-11ec-8402-0a7404972c70_jpg.rf.oxoEoE8Xlh20PDJvWB1T.jpg,test_D17_0e7cfd9a-60a5-11ec-8402-0a7404972c70_jpg.rf.oxoEoE8Xlh20PDJvWB1T.jpg,test,.jpg
expansion\dog_entropion\test_D19_0e5696da-60a5-11ec-8402-0a7404972c70_jpg.rf.1fqv9BofggLtr23UfI3w.jpg,test_D19_0e5696da-60a5-11ec-8402-0a7404972c70_jpg.rf.1fqv9BofggLtr23UfI3w.jpg,test,.jpg
expansion\dog_entropion\test_D20_0e5c073f-60a5-11ec-8402-0a7404972c70_jpg.rf.pD9JvB0ILdQatdyMjqcO.jpg,test_D20_0e5c073f-60a5-11ec-8402-0a7404972c70_jpg.rf.pD9JvB0ILdQatdyMjqcO.jpg,test,.jpg
expansion\dog_entropion\test_D22_036cde43-60a5-11ec-8402-0a7404972c70_jpg.rf.jicOJrVuPO0ztSbwHyDb.jpg,test_D22_036cde43-60a5-11ec-8402-0a7404972c70_jpg.rf.jicOJrVuPO0ztSbwHyDb.jpg,test,.jpg
expansion\dog_entropion\test_D22_0e448539-60a5-11ec-8402-0a7404972c70_jpg.rf.62yeHhW5Oz7m2kpJ15Ua.jpg,test_D22_0e448539-60a5-11ec-8402-0a7404972c70_jpg.rf.62yeHhW5Oz7m2kpJ15Ua.jpg,test,.jpg
expansion\dog_entropion\test_D24_03624c55-60a5-11ec-8402-0a7404972c70_jpg.rf.MVElEUCZ5lbcfTbbfNUO.jpg,test_D24_03624c55-60a5-11ec-8402-0a7404972c70_jpg.rf.MVElEUCZ5lbcfTbbfNUO.jpg,test,.jpg
expansion\dog_entropion\test_D24_2e2bb2a6-60a5-11ec-8402-0a7404972c70_jpg.rf.RjOlimiw7bKwjNLrg5HH.jpg,test_D24_2e2bb2a6-60a5-11ec-8402-0a7404972c70_jpg.rf.RjOlimiw7bKwjNLrg5HH.jpg,test,.jpg
expansion\dog_entropion\test_D25_0e409a45-60a5-11ec-8402-0a7404972c70_jpg.rf.MG0Erdhkh7XcEDFSZZZB.jpg,test_D25_0e409a45-60a5-11ec-8402-0a7404972c70_jpg.rf.MG0Erdhkh7XcEDFSZZZB.jpg,test,.jpg
expansion\dog_entropion\test_D25_0e55dcd0-60a5-11ec-8402-0a7404972c70_jpg.rf.P2yxQhhxHLktEbo7n8HG.jpg,test_D25_0e55dcd0-60a5-11ec-8402-0a7404972c70_jpg.rf.P2yxQhhxHLktEbo7n8HG.jpg,test,.jpg
expansion\dog_entropion\test_D28_0366e939-60a5-11ec-8402-0a7404972c70_jpg.rf.R3I0XqHLNRogDYviAPfc.jpg,test_D28_0366e939-60a5-11ec-8402-0a7404972c70_jpg.rf.R3I0XqHLNRogDYviAPfc.jpg,test,.jpg
expansion\dog_entropion\test_D29_0e554857-60a5-11ec-8402-0a7404972c70_jpg.rf.xiQRGOHJjivqTmLIkQny.jpg,test_D29_0e554857-60a5-11ec-8402-0a7404972c70_jpg.rf.xiQRGOHJjivqTmLIkQny.jpg,test,.jpg
expansion\dog_entropion\test_D29_36a59099-60a5-11ec-8402-0a7404972c70_jpg.rf.P6yTVvjaseLn6G07JjLi.jpg,test_D29_36a59099-60a5-11ec-8402-0a7404972c70_jpg.rf.P6yTVvjaseLn6G07JjLi.jpg,test,.jpg
expansion\dog_entropion\test_D31_03655b12-60a5-11ec-8402-0a7404972c70_jpg.rf.6o1LznrEz8jBICE5IGjL.jpg,test_D31_03655b12-60a5-11ec-8402-0a7404972c70_jpg.rf.6o1LznrEz8jBICE5IGjL.jpg,test,.jpg
expansion\dog_entropion\test_D31_0e5e1ccd-60a5-11ec-8402-0a7404972c70_jpg.rf.r80vfrNSuy5KeEZAUJbX.jpg,test_D31_0e5e1ccd-60a5-11ec-8402-0a7404972c70_jpg.rf.r80vfrNSuy5KeEZAUJbX.jpg,test,.jpg
expansion\dog_entropion\test_D31_0e6000e4-60a5-11ec-8402-0a7404972c70_jpg.rf.xtyE2ydv89LyawYPJdk6.jpg,test_D31_0e6000e4-60a5-11ec-8402-0a7404972c70_jpg.rf.xtyE2ydv89LyawYPJdk6.jpg,test,.jpg
expansion\dog_entropion\test_D31_33591d88-60a5-11ec-8402-0a7404972c70_jpg.rf.8FgTcYerIfj7K9EhZYlS.jpg,test_D31_33591d88-60a5-11ec-8402-0a7404972c70_jpg.rf.8FgTcYerIfj7K9EhZYlS.jpg,test,.jpg
expansion\dog_entropion\test_D32_0e42053f-60a5-11ec-8402-0a7404972c70_jpg.rf.BF63wWPPLhjCAvXrfVRO.jpg,test_D32_0e42053f-60a5-11ec-8402-0a7404972c70_jpg.rf.BF63wWPPLhjCAvXrfVRO.jpg,test,.jpg
expansion\dog_entropion\test_D33_0e708f86-60a5-11ec-8402-0a7404972c70_jpg.rf.MCVyhnh4b38lBkCjarTJ.jpg,test_D33_0e708f86-60a5-11ec-8402-0a7404972c70_jpg.rf.MCVyhnh4b38lBkCjarTJ.jpg,test,.jpg
expansion\dog_entropion\test_D34_03681930-60a5-11ec-8402-0a7404972c70_jpg.rf.mOUf73XIiGt9hZM5rH1h.jpg,test_D34_03681930-60a5-11ec-8402-0a7404972c70_jpg.rf.mOUf73XIiGt9hZM5rH1h.jpg,test,.jpg
expansion\dog_entropion\test_D34_335e6beb-60a5-11ec-8402-0a7404972c70_jpg.rf.gMSeVLVEm5SBXWVN6G6p.jpg,test_D34_335e6beb-60a5-11ec-8402-0a7404972c70_jpg.rf.gMSeVLVEm5SBXWVN6G6p.jpg,test,.jpg
expansion\dog_entropion\test_D3_0e5888ca-60a5-11ec-8402-0a7404972c70_jpg.rf.BffAQGP3CEfYvtuBM2Gb.jpg,test_D3_0e5888ca-60a5-11ec-8402-0a7404972c70_jpg.rf.BffAQGP3CEfYvtuBM2Gb.jpg,test,.jpg
