path,status,reason
expansion\dog_entropion\test_D0_0366e0a5-60a5-11ec-8402-0a7404972c70_jpg.rf.KqlK78HDcFP59LE6eBLN.jpg,ok,
expansion\dog_entropion\test_D0_36a6468b-60a5-11ec-8402-0a7404972c70_jpg.rf.8nDTvRsYNrowFp7jvN79.jpg,ok,
expansion\dog_entropion\test_D10_0368d75b-60a5-11ec-8402-0a7404972c70_jpg.rf.7wx49BfJr6yy2MeFOEll.jpg,ok,
expansion\dog_entropion\test_D10_0c454d4b-60a5-11ec-8402-0a7404972c70_png.rf.wohXikDvtBGvPjwORvIW.png,ok,
expansion\dog_entropion\test_D10_0e641109-60a5-11ec-8402-0a7404972c70_jpg.rf.hnilWHYGMlVXLVwt0UH3.jpg,ok,
expansion\dog_entropion\test_D10_247cc0cf-60a5-11ec-8402-0a7404972c70_jpg.rf.edTkMQzYrKrCEwAZG5e3.jpg,flagged,likely_blurry (var=24.2)
expansion\dog_entropion\test_D10_29d68853-60a5-11ec-8402-0a7404972c70_jpg.rf.nOCbBLA85r8F9WfDXNfE.jpg,ok,
expansion\dog_entropion\test_D10_29f5997c-60a5-11ec-8402-0a7404972c70_jpg.rf.Brc0vvVfqdzIwSMSIu2N.jpg,ok,
expansion\dog_entropion\test_D11_03657529-60a5-11ec-8402-0a7404972c70_jpg.rf.94Xqh59KO41BOXThu8pB.jpg,ok,
expansion\dog_entropion\test_D11_0e624f18-60a5-11ec-8402-0a7404972c70_jpg.rf.4NxaXKSZ1koIGyvgsO7F.jpg,ok,
expansion\dog_entropion\test_D13_3341e200-60a5-11ec-8402-0a7404972c70_jpg.rf.hyOd9nTD6zymZZWkthYh.jpg,ok,
expansion\dog_entropion\test_D14_0e45c8d5-60a5-11ec-8402-0a7404972c70_jpg.rf.zCW326TgJeZ9JmQ66cX8.jpg,ok,
expansion\dog_entropion\test_D14_0e5e70a9-60a5-11ec-8402-0a7404972c70_jpg.rf.N0AOt0OmekUM2UBa4La9.jpg,ok,
expansion\dog_entropion\test_D16_0e412226-60a5-11ec-8402-0a7404972c70_jpg.rf.vkdWkyszAD22D9faITFc.jpg,ok,
expansion\dog_entropion\test_D17_0e4a8687-60a5-11ec-8402-0a7404972c70_jpg.rf.yNO3aTubrIeGAXL1UVAl.jpg,ok,
expansion\dog_entropion\test_D17_0e62ee20-60a5-11ec-8402-0a7404972c70_jpg.rf.Cd1OWYO5lMZqc09KNE13.jpg,ok,
expansion\dog_entropion\test_D17_0e7cfd9a-60a5-11ec-8402-0a7404972c70_jpg.rf.oxoEoE8Xlh20PDJvWB1T.jpg,flagged,likely_blurry (var=27.8)
expansion\dog_entropion\test_D19_0e5696da-60a5-11ec-8402-0a7404972c70_jpg.rf.1fqv9BofggLtr23UfI3w.jpg,ok,
expansion\dog_entropion\test_D20_0e5c073f-60a5-11ec-8402-0a7404972c70_jpg.rf.pD9JvB0ILdQatdyMjqcO.jpg,ok,
expansion\dog_entropion\test_D22_036cde43-60a5-11ec-8402-0a7404972c70_jpg.rf.jicOJrVuPO0ztSbwHyDb.jpg,flagged,likely_blurry (var=25.4)
expansion\dog_entropion\test_D22_0e448539-60a5-11ec-8402-0a7404972c70_jpg.rf.62yeHhW5Oz7m2kpJ15Ua.jpg,ok,
expansion\dog_entropion\test_D24_03624c55-60a5-11ec-8402-0a7404972c70_jpg.rf.MVElEUCZ5lbcfTbbfNUO.jpg,ok,
expansion\dog_entropion\test_D24_2e2bb2a6-60a5-11ec-8402-0a7404972c70_jpg.rf.RjOlimiw7bKwjNLrg5HH.jpg,ok,
expansion\dog_entropion\test_D25_0e409a45-60a5-11ec-8402-0a7404972c70_jpg.rf.MG0Erdhkh7XcEDFSZZZB.jpg,ok,
expansion\dog_entropion\test_D25_0e55dcd0-60a5-11ec-8402-0a7404972c70_jpg.rf.P2yxQhhxHLktEbo7n8HG.jpg,ok,
expansion\dog_entropion\test_D28_0366e939-60a5-11ec-8402-0a7404972c70_jpg.rf.R3I0XqHLNRogDYviAPfc.jpg,ok,
expansion\dog_entropion\test_D29_0e554857-60a5-11ec-8402-0a7404972c70_jpg.rf.xiQRGOHJjivqTmLIkQny.jpg,ok,
expansion\dog_entropion\test_D29_36a59099-60a5-11ec-8402-0a7404972c70_jpg.rf.P6yTVvjaseLn6G07JjLi.jpg,ok,
expansion\dog_entropion\test_D31_03655b12-60a5-11ec-8402-0a7404972c70_jpg.rf.6o1LznrEz8jBICE5IGjL.jpg,ok,
expansion\dog_entropion\test_D31_0e5e1ccd-60a5-11ec-8402-0a7404972c70_jpg.rf.r80vfrNSuy5KeEZAUJbX.jpg,ok,
expansion\dog_entropion\test_D31_0e6000e4-60a5-11ec-8402-0a7404972c70_jpg.rf.xtyE2ydv89LyawYPJdk6.jpg,ok,
expansion\dog_entropion\test_D31_33591d88-60a5-11ec-8402-0a7404972c70_jpg.rf.8FgTcYerIfj7K9EhZYlS.jpg,flagged,likely_blurry (var=20.9)
expansion\dog_entropion\test_D32_0e42053f-60a5-11ec-8402-0a7404972c70_jpg.rf.BF63wWPPLhjCAvXrfVRO.jpg,ok,
expansion\dog_entropion\test_D33_0e708f86-60a5-11ec-8402-0a7404972c70_jpg.rf.MCVyhnh4b38lBkCjarTJ.jpg,ok,
expansion\dog_entropion\test_D34_03681930-60a5-11ec-8402-0a7404972c70_jpg.rf.mOUf73XIiGt9hZM5rH1h.jpg,ok,
expansion\dog_entropion\test_D34_335e6beb-60a5-11ec-8402-0a7404972c70_jpg.rf.gMSeVLVEm5SBXWVN6G6p.jpg,flagged,likely_blurry (var=29.0)
expansion\dog_entropion\test_D3_0e5888ca-60a5-11ec-8402-0a7404972c70_jpg.rf.BffAQGP3CEfYvtuBM2Gb.jpg,ok,
expansion\dog_entropion\test_D3_0e5ffc0b-60a5-11ec-8402-0a7404972c70_jpg.rf.HnTLZgFW5dfaXS5ckoku.jpg,ok,
expansion\dog_entropion\test_D4_0e7f4b2f-60a5-11ec-8402-0a7404972c70_jpg.rf.DlogRCxODKLkRU3b4goe.jpg,ok,
expansion\dog_entropion\test_D5_03c851ab-60a5-11ec-8402-0a7404972c70_png.rf.BpWQXDbKICG7bOQxtDbm.png,ok,
expansion\dog_entropion\test_D5_29ee9656-60a5-11ec-8402-0a7404972c70_jpg.rf.hPXOtP8sYqXZCQNP18MR.jpg,ok,
expansion\dog_entropion\test_D6_03d67515-60a5-11ec-8402-0a7404972c70_png.rf.VAlGNuLJxlmOYLAaElFi.png,ok,
expansion\dog_entropion\test_D6_0bfe9165-60a5-11ec-8402-0a7404972c70_png.rf.Juxp4eLmwKLaKTmLEoZ7.png,ok,
expansion\dog_entropion\test_D6_29b6cebd-60a5-11ec-8402-0a7404972c70_jpg.rf.vorqjMx4Gql7JFvT9GJV.jpg,ok,
expansion\dog_entropion\test_D6_29f09c5f-60a5-11ec-8402-0a7404972c70_jpg.rf.VgstbvanVEhsxBhdaknw.jpg,ok,
expansion\dog_entropion\test_D8_245f4b40-60a5-11ec-8402-0a7404972c70_jpg.rf.GPcEGJdSADqpCfuKvpmU.jpg,ok,
expansion\dog_entropion\test_D8_29f6181d-60a5-11ec-8402-0a7404972c70_jpg.rf.fEcu5bYjjxnjSfV8g9Ln.jpg,ok,
expansion\dog_entropion\test_D9_245d8388-60a5-11ec-8402-0a7404972c70_jpg.rf.rrr67kgkKwYzzw10xeyl.jpg,ok,
expansion\dog_entropion\test_D9_29f057a8-60a5-11ec-8402-0a7404972c70_jpg.rf.ed1NFf8ulmjBIpdTOqVm.jpg,ok,
expansion\dog_entropion\test_D9_29f5c6f3-60a5-11ec-8402-0a7404972c70_jpg.rf.6oGWsyzUYJwqC5kkvmYN.jpg,ok,
expansion\dog_entropion\train_D0_0e433ff7-60a5-11ec-8402-0a7404972c70_jpg.rf.Sp3WtaWjEykyXWRnnlJn.jpg,ok,
expansion\dog_entropion\train_D0_0e459089-60a5-11ec-8402-0a7404972c70_jpg.rf.1n6Tb0gn53BWvohwnFs4.jpg,ok,
expansion\dog_entropion\train_D0_0e45eff0-60a5-11ec-8402-0a7404972c70_jpg.rf.D1rERJMSgbDzrhAL4QVA.jpg,ok,
expansion\dog_entropion\train_D0_0e4babfc-60a5-11ec-8402-0a7404972c70_jpg.rf.bvIlA7uFa2hwblluFC0t.jpg,ok,
expansion\dog_entropion\train_D0_0e4cbe60-60a5-11ec-8402-0a7404972c70_jpg.rf.kemLTprFaiyUckmaCb8a.jpg,ok,
expansion\dog_entropion\train_D0_0e4f7134-60a5-11ec-8402-0a7404972c70_jpg.rf.7YrStNNYXqROt2U0DM5j.jpg,ok,
expansion\dog_entropion\train_D0_0e53b3df-60a5-11ec-8402-0a7404972c70_jpg.rf.Klobe65vzgZz4c07Cha1.jpg,ok,
expansion\dog_entropion\train_D0_0e58416f-60a5-11ec-8402-0a7404972c70_jpg.rf.ip5gpIV6NhcddN6LrWMD.jpg,ok,
expansion\dog_entropion\train_D0_0e618478-60a5-11ec-8402-0a7404972c70_jpg.rf.7rhe9VS60aZWZQAMNb15.jpg,ok,
expansion\dog_entropion\train_D0_0e641655-60a5-11ec-8402-0a7404972c70_jpg.rf.Em6VJxN0NSo4fUugfpef.jpg,ok,
expansion\dog_entropion\train_D0_0e655cad-60a5-11ec-8402-0a7404972c70_jpg.rf.06SAwsb1roiDwmzhiyAM.jpg,ok,
expansion\dog_entropion\train_D0_0e734bc6-60a5-11ec-8402-0a7404972c70_jpg.rf.PeuORsjcgMcFBLhiWFD6.jpg,ok,
expansion\dog_entropion\train_D0_2f1e975c-60a5-11ec-8402-0a7404972c70_jpg.rf.THLZ4BZNXmTKuDQJEaf7.jpg,flagged,likely_blurry (var=14.1)
expansion\dog_entropion\train_D0_30bc265d-60a5-11ec-8402-0a7404972c70_jpg.rf.mlTMzpVXbOrzcoWxpD1G.jpg,ok,
expansion\dog_entropion\train_D0_36a68ffe-60a5-11ec-8402-0a7404972c70_jpg.rf.xBHNP6QG9fnMrKrnbwM0.jpg,ok,
expansion\dog_entropion\train_D10_0363c30f-60a5-11ec-8402-0a7404972c70_jpg.rf.AQGONAq6AsJ1rRaO0qjh.jpg,ok,
expansion\dog_entropion\train_D10_036cbfb8-60a5-11ec-8402-0a7404972c70_jpg.rf.Eyr6T2D19TpvONVSktMb.jpg,ok,
expansion\dog_entropion\train_D10_03d37696-60a5-11ec-8402-0a7404972c70_png.rf.sivtivW39dKafrgHLgHY.png,ok,
expansion\dog_entropion\train_D10_0c2967f8-60a5-11ec-8402-0a7404972c70_png.rf.xyueF0szDzs2Zt44fGQO.png,ok,
expansion\dog_entropion\train_D10_0c5f60e5-60a5-11ec-8402-0a7404972c70_png.rf.kNJ3UqmpZGPub8gydjvd.png,ok,
expansion\dog_entropion\train_D10_0c6c1bbc-60a5-11ec-8402-0a7404972c70_png.rf.0VIYwoqk2RQZ40jvthEY.png,ok,
expansion\dog_entropion\train_D10_0c6ddb00-60a5-11ec-8402-0a7404972c70_png.rf.s2tSK87NBE5kd1Gd2FqU.png,ok,
expansion\dog_entropion\train_D10_0e429b95-60a5-11ec-8402-0a7404972c70_jpg.rf.2zme80iEHMRKS5B7nOPf.jpg,ok,
expansion\dog_entropion\train_D10_0e44755a-60a5-11ec-8402-0a7404972c70_jpg.rf.uruYYPJPpdhnvoGYTdTl.jpg,ok,
expansion\dog_entropion\train_D10_0e57297e-60a5-11ec-8402-0a7404972c70_jpg.rf.Eg1bGveR0boVMgTYfW7t.jpg,ok,
expansion\dog_entropion\train_D10_0e5f5f48-60a5-11ec-8402-0a7404972c70_jpg.rf.ZyYwguKdgTgRe4PO5DgM.jpg,ok,
expansion\dog_entropion\train_D10_0e750f45-60a5-11ec-8402-0a7404972c70_jpg.rf.Wm948Tx1vFbOg6bYBdZw.jpg,flagged,likely_blurry (var=23.9)
expansion\dog_entropion\train_D10_245b3bf7-60a5-11ec-8402-0a7404972c70_jpg.rf.0Ljpp6oirMFcb5jFH1FF.jpg,ok,
expansion\dog_entropion\train_D10_299c0465-60a5-11ec-8402-0a7404972c70_jpg.rf.JNh17yWuhzwqH2KyvMsV.jpg,ok,
expansion\dog_entropion\train_D10_29b9dad9-60a5-11ec-8402-0a7404972c70_jpg.rf.90XRF1AxyLojgCAo9qEv.jpg,ok,
expansion\dog_entropion\train_D10_2e2d157c-60a5-11ec-8402-0a7404972c70_jpg.rf.YF4YEV5B6hscH1LucExs.jpg,ok,
expansion\dog_entropion\train_D10_32857c65-60a5-11ec-8402-0a7404972c70_jpg.rf.VdH8wHdyAdxlqTOHov64.jpg,ok,
expansion\dog_entropion\train_D10_333d23bc-60a5-11ec-8402-0a7404972c70_jpg.rf.Fd1p42nwwHvqwyxsX0XG.jpg,ok,
expansion\dog_entropion\train_D10_3342815b-60a5-11ec-8402-0a7404972c70_jpg.rf.20UijeOA4bbnY2J73LDM.jpg,ok,
expansion\dog_entropion\train_D10_3359fc3c-60a5-11ec-8402-0a7404972c70_jpg.rf.93SmZYyaBipPIZzc7iNx.jpg,flagged,likely_blurry (var=23.9)
expansion\dog_entropion\train_D11_0369cb07-60a5-11ec-8402-0a7404972c70_jpg.rf.cP1GZLIcDnuUmuvL3AlG.jpg,ok,
expansion\dog_entropion\train_D11_0e46f696-60a5-11ec-8402-0a7404972c70_jpg.rf.pneqSRPcOtEUc3EhQimc.jpg,ok,
expansion\dog_entropion\train_D11_0e4e16be-60a5-11ec-8402-0a7404972c70_jpg.rf.PuN94Z8bZsn1ujouymJi.jpg,ok,
expansion\dog_entropion\train_D11_0e587158-60a5-11ec-8402-0a7404972c70_jpg.rf.kXsZ4pee0VFlC19yj9U3.jpg,ok,
expansion\dog_entropion\train_D11_0e6576ed-60a5-11ec-8402-0a7404972c70_jpg.rf.jhSsDEhfrbHdiTfU0agp.jpg,ok,
expansion\dog_entropion\train_D11_0e69cc30-60a5-11ec-8402-0a7404972c70_jpg.rf.TG1ZXaLVOdbYqxh4XJIT.jpg,flagged,likely_blurry (var=26.3)
expansion\dog_entropion\train_D11_0e70d569-60a5-11ec-8402-0a7404972c70_jpg.rf.1mDvn5OsShEMWDp7oXDd.jpg,flagged,likely_blurry (var=21.3)
expansion\dog_entropion\train_D11_333d62b0-60a5-11ec-8402-0a7404972c70_jpg.rf.tRANrrWIPVqwU8Vhpz5F.jpg,ok,
expansion\dog_entropion\train_D11_333de0c4-60a5-11ec-8402-0a7404972c70_jpg.rf.aD0VXZNvJKgItfHWCJFg.jpg,ok,
expansion\dog_entropion\train_D12_03639391-60a5-11ec-8402-0a7404972c70_jpg.rf.hFrmegvPkfs08GitmYEJ.jpg,ok,
expansion\dog_entropion\train_D12_0368ccbc-60a5-11ec-8402-0a7404972c70_jpg.rf.xxbwkVI7G5Kcw5nQzTAG.jpg,ok,
expansion\dog_entropion\train_D12_0e45b5c1-60a5-11ec-8402-0a7404972c70_jpg.rf.dQlXQM8QxEXPeryEqb58.jpg,ok,
expansion\dog_entropion\train_D12_0e4a7cb2-60a5-11ec-8402-0a7404972c70_jpg.rf.VSogaPsqlCbhqLhVUdK2.jpg,ok,
expansion\dog_entropion\train_D12_0e4ec13e-60a5-11ec-8402-0a7404972c70_jpg.rf.0VpFa1T56Mt4c5xbm3YM.jpg,ok,
expansion\dog_entropion\train_D12_0e5656c9-60a5-11ec-8402-0a7404972c70_jpg.rf.XvR9ydT7fXNn9H7fk2XK.jpg,ok,
expansion\dog_entropion\train_D12_0e57a663-60a5-11ec-8402-0a7404972c70_jpg.rf.9KlLi5iYOZFweO4BIq0h.jpg,ok,
expansion\dog_entropion\train_D12_0e5a615b-60a5-11ec-8402-0a7404972c70_jpg.rf.vh45jkVGPF99AAAqPzGL.jpg,ok,
expansion\dog_entropion\train_D12_0e602537-60a5-11ec-8402-0a7404972c70_jpg.rf.CcXXfvoCiaz7ipLzZdp6.jpg,ok,
expansion\dog_entropion\train_D12_0e622a09-60a5-11ec-8402-0a7404972c70_jpg.rf.pz2dyN8otfgiKZYqyFyV.jpg,ok,
expansion\dog_entropion\train_D12_0e6d3c6d-60a5-11ec-8402-0a7404972c70_jpg.rf.ZMjhcvXorRyUklgG1ZNk.jpg,flagged,likely_blurry (var=25.7)
expansion\dog_entropion\train_D12_2e29bc63-60a5-11ec-8402-0a7404972c70_jpg.rf.nLVSwIlFOWXGarKoC6IU.jpg,flagged,likely_blurry (var=16.5)
expansion\dog_entropion\train_D12_333d4bca-60a5-11ec-8402-0a7404972c70_jpg.rf.d5W1otQzRKbTbdZoN1OW.jpg,ok,
expansion\dog_entropion\train_D12_36a6eb75-60a5-11ec-8402-0a7404972c70_jpg.rf.Czid7Cl1ybH6bdiU8z1E.jpg,ok,
expansion\dog_entropion\train_D13_03658395-60a5-11ec-8402-0a7404972c70_jpg.rf.SrIdOrEsQDCUJ9801OMs.jpg,ok,
expansion\dog_entropion\train_D13_0e42aafa-60a5-11ec-8402-0a7404972c70_jpg.rf.0Agcgz6EiKOKRilbQXI9.jpg,ok,
expansion\dog_entropion\train_D13_0e4bbaf2-60a5-11ec-8402-0a7404972c70_jpg.rf.57Jevz8Hv0fkoX6FxBVz.jpg,ok,
expansion\dog_entropion\train_D13_0e56cb58-60a5-11ec-8402-0a7404972c70_jpg.rf.MGRoJrgK7OfbEHO1azqA.jpg,ok,
expansion\dog_entropion\train_D13_0e5e2770-60a5-11ec-8402-0a7404972c70_jpg.rf.lqF4sREUSYgGbagNsOAR.jpg,ok,
expansion\dog_entropion\train_D13_0e5e3ff9-60a5-11ec-8402-0a7404972c70_jpg.rf.401ponrMBYP3AQFkhaFd.jpg,ok,
expansion\dog_entropion\train_D13_0e5ef681-60a5-11ec-8402-0a7404972c70_jpg.rf.3JwbWYn7Be4CbPr1xAsQ.jpg,ok,
expansion\dog_entropion\train_D13_0e60c79c-60a5-11ec-8402-0a7404972c70_jpg.rf.2WCOS1Lz7fFCGB0o59ri.jpg,ok,
expansion\dog_entropion\train_D13_0e62251d-60a5-11ec-8402-0a7404972c70_jpg.rf.O9iBudFRhw702FXGj9Oa.jpg,ok,
expansion\dog_entropion\train_D13_0e70688d-60a5-11ec-8402-0a7404972c70_jpg.rf.ufm6UY3gRv3lK57j7Dmb.jpg,flagged,likely_blurry (var=29.2)
