cluster_id,image_count,class_count,classes,pair_count,exact_pairs,near_pairs,cross_class
456,11,2,hotspot|pyoderma,55,36,19,True
476,10,2,hotspot|pyoderma,45,36,9,True
460,8,2,hotspot|pyoderma,28,15,13,True
466,8,2,hotspot|pyoderma,28,28,0,True
508,8,2,hotspot|pyoderma,18,2,16,True
533,8,3,hotspot|pyoderma|ringworm,28,21,7,True
535,8,2,hotspot|pyoderma,28,28,0,True
443,7,2,healthy_skin|lumpy_skin_disease,21,9,12,True
468,7,2,hotspot|pyoderma,21,21,0,True
517,7,2,hotspot|pyoderma,21,15,6,True
539,7,2,hotspot|pyoderma,21,21,0,True
542,7,2,hotspot|pyoderma,21,21,0,True
543,7,3,hotspot|pyoderma|ringworm,21,21,0,True
546,7,3,hotspot|pyoderma|ringworm,21,5,16,True
524,6,2,hotspot|pyoderma,15,7,8,True
529,6,3,hotspot|pyoderma|ringworm,15,15,0,True
532,6,2,hotspot|pyoderma,15,15,0,True
536,6,2,hotspot|pyoderma,15,10,5,True
538,6,2,hotspot|pyoderma,15,10,5,True
541,6,2,hotspot|pyoderma,15,6,9,True
86,5,2,healthy_cattle|lumpy_skin_disease,10,10,0,True
306,5,3,fungal_infection|hotspot|pyoderma,10,6,4,True
379,5,2,fungal_infection|ringworm,10,6,4,True
457,5,2,hotspot|pyoderma,10,10,0,True
515,5,2,hotspot|pyoderma,10,6,4,True
526,5,2,hotspot|pyoderma,10,10,0,True
527,5,2,hotspot|pyoderma,10,10,0,True
531,5,2,hotspot|pyoderma,10,10,0,True
534,5,2,hotspot|pyoderma,10,6,4,True
537,5,2,hotspot|pyoderma,10,6,4,True
571,5,2,hotspot|pyoderma,10,1,9,True
593,5,2,hotspot|pyoderma,10,10,0,True
616,5,3,hotspot|pyoderma|ringworm,10,10,0,True
669,5,3,hotspot|pyoderma|ringworm,10,6,4,True
1153,5,2,pyoderma|ringworm,10,6,4,True
24,4,2,healthy_cattle|healthy_skin,6,6,0,True
26,4,2,healthy_cattle|healthy_skin,6,6,0,True
73,4,3,healthy_cattle|healthy_skin|lumpy_skin_disease,6,6,0,True
130,4,2,healthy_cattle|healthy_skin,6,6,0,True
222,4,3,allergic_dermatitis|hotspot|pyoderma,6,6,0,True
223,4,3,allergic_dermatitis|hotspot|pyoderma,6,6,0,True
335,4,2,fungal_infection|hotspot,6,6,0,True
378,4,2,fungal_infection|ringworm,6,3,3,True
454,4,2,hotspot|pyoderma,6,6,0,True
488,4,3,hotspot|pyoderma|ringworm,6,1,5,True
545,4,2,hotspot|pyoderma,6,6,0,True
582,4,2,hotspot|pyoderma,6,6,0,True
584,4,2,hotspot|pyoderma,6,6,0,True
585,4,2,hotspot|pyoderma,6,3,3,True
587,4,2,hotspot|pyoderma,6,6,0,True
595,4,2,hotspot|pyoderma,6,6,0,True
600,4,2,hotspot|pyoderma,6,6,0,True
602,4,2,hotspot|pyoderma,6,6,0,True
603,4,2,hotspot|pyoderma,6,6,0,True
612,4,2,hotspot|pyoderma,6,6,0,True
614,4,2,hotspot|pyoderma,6,6,0,True
617,4,2,hotspot|pyoderma,6,6,0,True
618,4,2,hotspot|pyoderma,6,2,4,True
619,4,2,hotspot|pyoderma,6,6,0,True
620,4,2,hotspot|pyoderma,6,6,0,True
625,4,2,hotspot|pyoderma,6,6,0,True
