class,precision,recall,f1,support
allergic_dermatitis,0.8235294117647058,0.7954545454545454,0.8092485549132948,88
foot_and_mouth_disease,0.972972972972973,0.9642857142857143,0.968609865470852,112
fungal_infection,0.7910447761194029,0.7162162162162162,0.75177304964539,74
healthy_skin,0.7941176470588235,0.9642857142857143,0.8709677419354839,84
hotspot,0.6344086021505376,0.7972972972972973,0.7065868263473054,74
lumpy_skin_disease,0.9711538461538461,0.9223744292237442,0.9461358313817331,219
mange,0.948905109489051,0.8666666666666667,0.9059233449477352,150
pyoderma,0.7105263157894737,0.627906976744186,0.6666666666666666,43
ringworm,0.8894472361809045,0.8939393939393939,0.8916876574307305,198
scabies,0.8958333333333334,0.9347826086956522,0.9148936170212766,46
